id,name,description,order
1,ヘッドボイス(頭声・Head Voice),"定義: 主に高音域を歌う時に必要とされる声区です。歌手の体感として、頭（上頭部～後頭部にかけて）に響いているように感じられる事があるため、そのように呼ばれています。

テンションが上がった時に「Foooo‼⤴」みたいな高い声を出したことありませんか？アレです。
純粋なヘッドボイスは、『もののけ姫』や『女声オペラ』みたいな声です。『息もれが少ない裏声』に”聞こえます”よね。

★Ｑ.裏声に”聞こえる""ってどういうこと？ヘッドボイスって裏声じゃないの？★

A.管理人の定義では""地声""です。

なぜ？と思いますよね。分かります。先ほど例に挙げた『もののけ姫』を聴くと、どう聞いても裏声のようにしか聞こえませんし、出している時の体感も思いっきり裏声ですよね。管理人も同じ体感です。ボイストレーニングメソッドの流派によっては裏声として扱うところも多いです。

ではなぜ地声なのか。それはチェストボイスと同じく、「声帯を閉鎖しているから」です。

「声質が地声と裏声のどちらに聞こえるか」、「発声の体感はどうか」、という主観的な話ではなく、医学的な見地から見れば、声帯が閉じていないことで息がだだ洩れになるファルセットとは発声原理的に異なるのです。

まだ皆さんのイメージと一致せずもやもやしている方もいらっしゃるかもしれませんので、分かりやすい例を挙げます。この歌を1:51から聴いてみてください。
https://www.youtube.com/watch?v=ICJs1CxCRt0

Forgive me,""Girl""のところはソ(G4)→シ(B4)→レ(D5)→高いソ(G5)と段階的にハイトーンになっていきますが、実はソ(G4)はミックスボイス、シ(B4)以上の高さは”全てヘッドボイス”です。これ、裏声に聞こえますか？

そうなんです。ヘッドボイスって「もののけ姫」みたいな声だけじゃないんです。

先ほど例に挙げたハードロックやヘヴィメタル、昨今ではOfficial髭男dismさんを初めとした日本のポップス歌手も、軒並みこの地声寄りな声質のヘッドボイスを多用しています。昨今の流行曲もはや素人にカラオケで歌わせる気なんてさらさらないのではないかと思うほど高音化の一途を辿っていますが、彼らは決して「怒鳴って高い声を出している」のではありません。テンションが上がった時の「Foooo‼」と同じくらいノーストレスで歌っています。なぜなら、同じヘッドボイスだからです。


というか、言葉遊びのように聞こえるかもしれませんが、「裏返らないから」です。「チェストボイス→ミックスボイス→ヘッドボイス」と一本につながるということは、「そもそも裏返っていないのだから裏声じゃなくね？」と思うのです。そのため、当サイトでは、ミックスボイスもヘッドボイスも「地声の一種である」との立場をとっています。",4
2,ミックスボイス・ミドルボイス(Mixed Voice・Middle Voice),"定義:当サイトにおいては、「地声を作る筋肉(声帯を閉じる筋肉)」と「裏声を作る筋肉(声帯を薄く引き伸ばす)」を同時に使った時に出る声です。「ミドルボイス」と呼ぶメソッドもあり、主に中高音域をカバーする声区です。マスターすれば、地声でも裏声でも出せそうな一番いやらしい音域で声がひっくり返らず、楽に高音へ上がっていけます。

絵の具で例えるなら、黒と白の色があったとして、黒からいきなり白になるのではなく、黒→グレー→白　のように地声からグラデーションのようにミックスボイスへつながるため、聞き手側は「いつ黒から白へ変わったのか判然とせず」、ずっと純粋な地声で歌っていると錯覚させながら楽な体感で歌えるのがミックスボイスです。叫ぶより圧倒的に楽なまま歌えます。


それほど魅力的な発声ゆえ、ボイストレーニングに少しでも興味があれば今や一度は耳にしたことがあるであろうワードでしょうし、それゆえに情報が錯綜しまくってボイストレーニングをわかりづらくしてしまった大きな要因でもあると思います。


というのも、ミックスボイスの定義はボイトレメソッドによって本当に定義がバラバラです。

トレーナーA「ミックスボイスとは、地声と裏声を混ぜた声です！」

トレーナーB「ミックスボイスとは、裏声を地声のように響かせた声です！」

トレーナーＣ「ミックスボイスとは、裏声を鼻腔に響かせて太くした声です！」


誇張抜きでこれぐらい人によって定義がバラバラです。
（地声と裏声を混ぜるってどういうことだ！？）ってなりませんでしたか？僕はなりました。右の鼻から息を吸いながら左の鼻で息を吐けって言われてるようなレベルの無理ゲー感を覚えました。

高音発声に悩む方の母数が非常に多い中、なんかよくわからんけど高い声が楽に出せる横文字の発声。そんなの魔法のように思えてきますよね。

でも原理は簡単です。日常会話では一方しか使っていない地声・裏声の筋肉を「同時に同じくらいのパワーでバランスよく動かせば勝手に出る」のがミックスボイスなのです。""勝手に""出ます。


★”声帯を薄く引き伸ばす”とはどういうことか★
伝わりにくいと思いますが、輪ゴムを思い出してください。引っ張っていない輪ゴムを弾くとぼよよ～んとなり、鈍く低い音が出ます。対して、引っ張った輪ゴムを弾くと「ピン！」と高い音が鳴りますよね。

ギターの弦もそうです。太い弦は低い音、細い弦は高い音が出ます。
つまり、声帯を首のインナーマッスルで引っ張って薄く引き伸ばすことで人間は高音発声を実現しているわけです。

声帯を閉じる筋肉と、声帯を薄く引き伸ばす筋肉、どちらも同じくらいのパワーで動かせるようになれば、声が勝手に繋がり、声帯を閉じて強い声を維持したまま高音を発声できるようになります。


★ミックスボイスは切り替えない★

よく「ここから先はミックスボイスに切り替えて歌う」というアドバイスがありますが、個人的には懐疑的な立場をとっています。ミックスボイスは声が裏返らない発声です。黒から白、白から黒へガラッと変わらず、グラデーションになった結果、その中間音域のグレーな声を便宜上ミックスボイスと呼んでいるだけであって、切り替えが生じた時点でそれはミックスボイスではないという立場をとっています。

★ミックスボイスは地声・裏声どっちなの？★
結論からいえば、私は""地声""だと思っています。詳細は次項の「ヘッドボイス」参照",3
3,地声(Modal Register・チェストボイス),"定義:当サイトでは「声帯が閉鎖されてしっかり振動しており。息もれが少ない声」を指しています。このしっかりパワーを持った低音を出すと胸が振動することから、歌の業界では、特にこのパワーをしっかり持たせて喉も開いた太い声のことはチェストボイスとも呼ばれていますが、この項目では主に「地声」の定義について扱います。

この用語集でもっとも重要なトピックです。

「声帯が閉鎖されてしっかり振動しており。息もれが少ない声」と言いました。つまり、そうでない声を「裏声」と扱うということです。そう、当サイトにおいて、ため息は”裏声”です。

実は話し声＝地声というわけではないのです。多くの人が、地声と話し声を混同していますが、話し声が大きく強い人もいれば、息っぽい人もいますよね。そう、話し声が裏声の人もたくさんいるのです。

断っておきますが、どちらのほうがいい、という話では断じてありません。私が言いたいのは、話し声を基準に考えてしまうと個人差が激しすぎるということです。そのため、

★声帯がどういう動きをしているか★
を基準に種別を定義しています。

一口に地声といっても、どれくらい声帯を分厚く使っているか、どれくらいの息を使っているか次第で、「地声」という領域の範疇でも声は強くも優しくもなるため、当サイトでは注釈の色を""強さ""の観点でも分けています。",1
4,裏声(Falsetto Register・Whisper Voice),"定義:声帯が閉じておらずほとんど振動していない、大量に息が漏れる声を指します。

当サイトにおいては、息もれが多い声を全て裏声（ファルセット状態）と扱います。

誰もが想像する息っぽく裏返った高音「ファルセット」だけでなく、ため息も、息っぽくて可愛らしい萌え声も、ウィスパーボイスならすべて裏声と扱います。

この定義によれば、カワボ御用達、かの有名な『恋愛サーキュレーション』における花澤香菜さんの歌声は当サイトにおいて「裏声で歌っている」ということになります。

「裏声に聞こえる」、「裏声を出している体感がある」、という主観ベースではなく、医学的に発声原理が近しいもので分類していきますので、人によっては体感と＝で結びつかずに最初はびっくりすることもあるかもしれませんが、ご了承ください。",2
5,声区,"定義:音域ごとに使うべき声の区域のことです。一番わかりやすいのは

・低音向きの「地声」
・高音向きの「裏声」

です。裏返るということは、そこには境目があるわけですから、この例でいうと地声と裏声の2声区がある、とみなされます。

ミックスボイスをマスターすると、大まかに「チェストボイス」、「ミックスボイス」、「ヘッドボイス」の3区域あるということになります。（厳密にいえばヘッドボイスの後にもスーパーヘッドボイスやホイッスルボイスなど、また別の区域にも分けられるのだが、注釈機能では、明確に「区域」として感じやすいため、当サイトでは主に3声区として扱います。",5
6,換声点(ブリッジエリア・チェンジ),"定義:地声から裏声に裏返るなど、今使っている声から別の声区に変えたい音階または音域のこと。発声が上達していけばいくほど、（このあたりから変わった）という体感は曖昧になり、点ではなく「エリア」のように曖昧になっていく。
比較的女性に多いが、話し声の時点でミックスボイスだったりして、本人には換声点の自覚がないケースもある。

変声期をすぎた男性の平均的な換声点→ミ(E4)～ソ(G4)
成人女性の平均的な換声点→ラ(A4)～ド#(C#5)",6
7,ビブラート(Vibrato),定義: ビブラートは、音程を周期的に変化させて声に揺れを与える技術で、音に深みと感情を加えるために使用されます。,7
8,しゃくり上げ(しゃくり),"定義: 音程を下から上に滑らかに引き上げる歌唱テクニックです。パワフルな声で要所要所でうまく使えればより壮大な印象となる一方、逆に最近でいえばOverdoseのようにダウナーな曲において意図的にけだるげな印象を与える効果を狙って使われることもある。

ただし、言葉の頭からバシッと一発で音程を当てるのではなく、スロースターターになる関係上、多用すると音感が悪い人という印象となりやすい。用法容量の見極めにセンスが問われるテクニック。",8
9,フォールダウン(フォール),"定義: フォールは、音程を上から下に滑らかに落とす技術です。語尾に効果的につければ、落ち着いた余韻や、悲痛な印象をもたらすことができるため、メッセージ性の強い曲で要所要所で狙って使うぶんにはいい味が出るのだが、

これもしゃくりと同じく用法容量を見極められないと音感(ピッチ)が甘いという印象や歌としてくどい仕上がりになってしまいやすいため、意図的でない限り多用には注意なテクニック。",9
10,ブレス(Breath),"定義:当サイトにおいては「歌における呼吸」のことです。とりわけ最近の曲はテンポも速い傾向にあり、息を吸うタイミングをあらかじめ決めておかなければぶっつけ本番で到底対処できないような難曲が珍しくないため、ぜひ当アプリを活用して対策していただければと思います。

★腹式呼吸は重要か★

巷でよく勧められるであろう「腹式呼吸」についてですが、個人的には「★突き詰めれば必要だが優先順位は比較的低い」という考えです。確かに一度で吸うことのできる息が増えますし、できるに越したことはないのですが、

・吸える息を増やすより前に、

・使う息を減らす

というアプローチで呼吸・発声を見直したほう明らかに効率がいいと思います。肺活量そのものは一朝一夕で上がらないですしね。",10
11,クレッシェンド (Crescendo),"定義:音量を徐々に大きくしていく技法で、楽曲に緊張感やダイナミズムを加えます。

怒鳴り声をフルパワーとしたとき、歌において声のコントロールが効くのは大きくても7～8割までが限界ラインであろうかと思いますが、迫力と最大音量は必ずしも＝ではありません。

最大音量ではなく、後述のデクレシェンドとセットで、”音量差”による迫力を生めるのがこのクレッシェンドとなります。そのため、前提として声をコントロールできる範囲内で大きくしていった方がいいかなと思います。",11
12,デクレッシェンド (Decrescendo),"定義: デクレッシェンドは、音量を徐々に小さくしていく技法で、楽曲の終わりや静けさを演出します。
だんだんと声を小さくしていくぶん、自然と優しい声になりますが、優しい声は息を多く消費するため、前提としてブレスも併せて重要となるテクニックです。",12
13,がなり (Distortion・Raspy Voice),"定義:がなり声は、声帯に意図的な歪みを加えた声の出し方で、ロックやハードロックでよく使われます。力強く、荒々しい音が特徴です。

非常に奥が深いトピックで、私自身もまだまだ研究中だ。がなりには大きく分けて

①歪みの粒が細かい、ハスキーボイスのようなタイプ
・②&Bなどのブラックミュージック系で活きてくる粒が大きいタイプ

の2種類に分けられるだろう。どちらもナチュラルな発声と比較して喉を非常に傷めやすいため、

こうすれば安全！

と文字だけで安易にお伝えするのは難しく。できるだけ耳の肥えたトレーナーさんに指導を受けながら練習していただきたいテクニックではあります。そのため、やり方というより、きっかけをつかみたい方向けにさわりだけ書くと。

①→HIKAKINさんの「ブンブンハローユーチューブ」と同じ喉ベースを覚える
②→大きな咳やニャンちゅうの声の要領で出すタイプ",13
14,こぶし(Fake Run),定義:音を一瞬だけ上下させる歌唱技法。身近なジャンルでは演歌が多いが、海外のR&Bなど、多くのジャンルでも有効に使われている。,14
